GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US00601,00601,ZCTA5 00601,18450,17457,144,4,0,0,775,70,25,45
8600000US00602,00602,ZCTA5 00602,41302,26252,1446,27,71,0,1267,12239,152,12087
8600000US00603,00603,ZCTA5 00603,53683,41616,1769,18,448,0,1645,8187,159,8028
8600000US00606,00606,ZCTA5 00606,6591,6284,74,0,0,0,146,87,0,87
8600000US00610,00610,ZCTA5 00610,28963,21433,844,0,21,0,4838,1827,76,1751
8600000US00612,00612,ZCTA5 00612,68055,56636,3131,164,825,0,4860,2439,739,1700
8600000US00616,00616,ZCTA5 00616,10183,9285,236,21,0,0,402,239,19,220
8600000US00617,00617,ZCTA5 00617,24879,23905,304,28,32,0,269,341,25,316
8600000US00622,00622,ZCTA5 00622,6165,5898,81,0,0,0,161,25,24,1
8600000US00623,00623,ZCTA5 00623,44704,42821,1234,20,16,0,241,372,45,327
8600000US00624,00624,ZCTA5 00624,25340,22298,741,55,1,0,1834,411,72,339
8600000US00627,00627,ZCTA5 00627,34806,32267,545,23,48,0,1339,584,200,384
8600000US00631,00631,ZCTA5 00631,1747,1588,0,0,0,0,159,0,0,0
8600000US00637,00637,ZCTA5 00637,24996,23146,677,82,0,0,654,437,186,251
8600000US00638,00638,ZCTA5 00638,18742,18110,176,0,0,0,281,175,29,146
8600000US00641,00641,ZCTA5 00641,30401,27091,716,25,180,0,1927,462,165,297
8600000US00646,00646,ZCTA5 00646,38303,27502,5680,9,36,0,814,4262,119,4143
8600000US00647,00647,ZCTA5 00647,5640,5239,200,7,0,0,129,65,0,65
8600000US00650,00650,ZCTA5 00650,14969,14367,197,0,26,0,298,81,0,81
8600000US00652,00652,ZCTA5 00652,3461,3205,98,0,17,0,136,5,0,5
8600000US00653,00653,ZCTA5 00653,13461,12149,426,30,0,0,501,355,52,303
8600000US00656,00656,ZCTA5 00656,21172,19421,560,35,0,0,837,319,90,229
8600000US00659,00659,ZCTA5 00659,41932,39613,406,0,146,0,709,1058,98,960
8600000US00660,00660,ZCTA5 00660,17151,8917,557,0,58,0,2448,5171,156,5015
8600000US00662,00662,ZCTA5 00662,43535,28777,2454,329,20,0,10291,1664,332,1332
8600000US00664,00664,ZCTA5 00664,16508,13674,549,123,19,0,565,1578,75,1503
8600000US00667,00667,ZCTA5 00667,25797,24448,563,31,0,0,211,544,57,487
8600000US00669,00669,ZCTA5 00669,28984,27694,250,0,21,0,803,216,24,192
8600000US00670,00670,ZCTA5 00670,9689,9349,171,23,0,0,112,34,29,5
8600000US00674,00674,ZCTA5 00674,43848,38034,1662,13,19,0,3566,554,95,459
8600000US00676,00676,ZCTA5 00676,39916,33284,732,2,0,21,3425,2452,115,2337
8600000US00677,00677,ZCTA5 00677,15108,9377,615,19,21,0,235,4841,18,4823
8600000US00678,00678,ZCTA5 00678,27229,20230,978,88,37,0,5400,496,183,313
8600000US00680,00680,ZCTA5 00680,56003,34091,1947,69,35,0,10561,9300,346,8954
8600000US00682,00682,ZCTA5 00682,32509,16774,1382,0,49,0,8181,6123,204,5919
8600000US00683,00683,ZCTA5 00683,33442,31712,873,27,0,0,467,363,148,215
8600000US00685,00685,ZCTA5 00685,41947,38426,615,0,24,0,2441,441,66,375
8600000US00687,00687,ZCTA5 00687,32609,26859,702,0,0,0,528,4520,0,4520
8600000US00688,00688,ZCTA5 00688,13340,12119,331,19,24,0,683,164,60,104
8600000US00690,00690,ZCTA5 00690,6299,3980,208,0,5,0,301,1805,23,1782
8600000US00692,00692,ZCTA5 00692,37618,29635,3685,24,12,0,1244,3018,93,2925
8600000US00693,00693,ZCTA5 00693,60211,55754,1818,205,64,0,1573,797,224,573
8600000US00694,00694,ZCTA5 00694,157,146,0,0,0,0,11,0,0,0
8600000US00698,00698,ZCTA5 00698,41179,37620,1053,155,63,0,1053,1235,344,891
8600000US00703,00703,ZCTA5 00703,29153,23532,921,0,1,0,458,4241,45,4196
8600000US00704,00704,ZCTA5 00704,7867,4358,403,0,0,0,1938,1168,63,1105
8600000US00705,00705,ZCTA5 00705,25373,20586,1840,17,32,0,2704,194,26,168
8600000US00707,00707,ZCTA5 00707,12070,5160,2944,37,0,0,691,3238,179,3059
8600000US00714,00714,ZCTA5 00714,19443,9476,4670,0,0,0,1597,3700,91,3609
8600000US00715,00715,ZCTA5 00715,4315,2134,761,9,0,0,367,1044,37,1007
8600000US00716,00716,ZCTA5 00716,32180,22162,1945,0,53,0,1560,6460,240,6220
8600000US00717,00717,ZCTA5 00717,17972,12222,927,23,96,0,1211,3493,72,3421
8600000US00718,00718,ZCTA5 00718,26767,18630,992,0,251,0,6191,703,50,653
8600000US00719,00719,ZCTA5 00719,30793,11924,855,10,8,0,1004,16992,375,16617
8600000US00720,00720,ZCTA5 00720,23080,17776,749,0,0,0,960,3595,72,3523
8600000US00723,00723,ZCTA5 00723,19017,11090,2423,158,0,10,2121,3215,49,3166
8600000US00725,00725,ZCTA5 00725,90206,66699,6816,153,420,0,9083,7035,499,6536
8600000US00727,00727,ZCTA5 00727,56972,44803,3160,65,60,0,5199,3685,284,3401
8600000US00728,00728,ZCTA5 00728,42692,35237,1493,97,9,0,3911,1945,137,1808
8600000US00729,00729,ZCTA5 00729,54768,27332,8297,56,325,0,18421,337,140,197
8600000US00730,00730,ZCTA5 00730,37931,26906,2424,16,23,0,2246,6316,253,6063
8600000US00731,00731,ZCTA5 00731,14525,12255,436,31,0,0,968,835,17,818
8600000US00735,00735,ZCTA5 00735,13495,8514,672,0,140,0,3531,638,74,564
8600000US00736,00736,ZCTA5 00736,51576,38021,1699,19,278,0,10884,675,67,608
8600000US00738,00738,ZCTA5 00738,34492,20710,3102,28,172,0,9549,931,305,626
8600000US00739,00739,ZCTA5 00739,38673,28226,1305,55,143,0,8003,941,105,836
8600000US00740,00740,ZCTA5 00740,1760,871,126,0,0,0,713,50,0,50
8600000US00741,00741,ZCTA5 00741,5025,2618,616,53,0,0,1452,286,15,271
8600000US00745,00745,ZCTA5 00745,54681,29006,7066,62,130,0,16613,1804,414,1390
8600000US00751,00751,ZCTA5 00751,23430,12779,1515,0,0,0,5989,3147,118,3029
8600000US00754,00754,ZCTA5 00754,40330,31485,1929,0,88,0,618,6210,161,6049
8600000US00757,00757,ZCTA5 00757,23231,13201,1525,0,0,0,7171,1334,35,1299
8600000US00765,00765,ZCTA5 00765,9206,4358,1101,60,13,0,3008,666,0,666
8600000US00766,00766,ZCTA5 00766,25991,17685,665,71,11,0,3231,4328,42,4286
8600000US00767,00767,ZCTA5 00767,37442,24625,3421,61,26,0,3902,5407,140,5267
8600000US00769,00769,ZCTA5 00769,40026,26920,2548,0,0,0,9933,625,22,603
8600000US00771,00771,ZCTA5 00771,38504,25487,1814,128,120,0,1967,8988,27,8961
8600000US00772,00772,ZCTA5 00772,21712,3343,8572,55,71,0,9309,362,145,217
8600000US00773,00773,ZCTA5 00773,19918,10861,1918,45,143,0,6363,588,249,339
8600000US00775,00775,ZCTA5 00775,1478,863,80,0,0,0,422,113,0,113
8600000US00777,00777,ZCTA5 00777,40892,34131,1596,7,0,18,4324,816,93,723
8600000US00778,00778,ZCTA5 00778,46109,27320,4633,54,136,0,5072,8894,466,8428
8600000US00780,00780,ZCTA5 00780,13418,9183,409,0,0,0,1124,2702,1,2701
8600000US00782,00782,ZCTA5 00782,18504,11325,429,0,1,0,579,6170,50,6120
8600000US00783,00783,ZCTA5 00783,36466,14549,243,8,0,0,768,20898,141,20757
8600000US00784,00784,ZCTA5 00784,43746,29496,5367,198,0,0,4803,3882,143,3739
8600000US00786,00786,ZCTA5 00786,335,319,0,0,0,0,16,0,0,0
8600000US00791,00791,ZCTA5 00791,52760,32138,3007,121,375,0,12964,4155,226,3929
8600000US00794,00794,ZCTA5 00794,30688,11330,872,26,0,0,457,18003,160,17843
8600000US00795,00795,ZCTA5 00795,47580,29134,3981,76,221,0,2149,12019,156,11863
8600000US00901,00901,ZCTA5 00901,6444,4327,982,20,21,0,452,642,148,494
8600000US00906,00906,ZCTA5 00906,36,36,0,0,0,0,0,0,0,0
8600000US00907,00907,ZCTA5 00907,17696,12741,2551,112,46,0,527,1719,179,1540
8600000US00909,00909,ZCTA5 00909,5910,3270,1257,53,27,0,341,962,31,931
8600000US00911,00911,ZCTA5 00911,7595,5374,1148,11,2,0,251,809,47,762
8600000US00912,00912,ZCTA5 00912,6541,3393,1730,42,49,0,215,1112,68,1044
8600000US00913,00913,ZCTA5 00913,8255,4795,2352,11,0,0,406,691,65,626
8600000US00915,00915,ZCTA5 00915,31812,15118,9537,340,82,0,2452,4283,374,3909
8600000US00917,00917,ZCTA5 00917,20557,13645,2782,344,73,0,1287,2426,156,2270
8600000US00918,00918,ZCTA5 00918,16472,12869,896,33,23,0,730,1921,79,1842
8600000US00920,00920,ZCTA5 00920,18540,12320,3827,253,16,0,727,1397,195,1202
8600000US00921,00921,ZCTA5 00921,38077,24235,10993,112,107,0,1435,1195,297,898
8600000US00923,00923,ZCTA5 00923,28618,17013,5353,69,645,0,3952,1586,472,1114
8600000US00924,00924,ZCTA5 00924,58061,34299,10464,193,1589,0,7859,3657,583,3074
8600000US00925,00925,ZCTA5 00925,6877,3451,1199,30,494,0,1040,663,60,603
8600000US00926,00926,ZCTA5 00926,107139,72101,8267,187,778,0,4285,21521,818,20703
8600000US00927,00927,ZCTA5 00927,15340,13070,1256,0,16,0,592,406,166,240
8600000US00934,00934,ZCTA5 00934,245,136,43,0,0,0,66,0,0,0
8600000US00936,00936,ZCTA5 00936,1151,630,130,0,58,0,175,158,9,149
8600000US00949,00949,ZCTA5 00949,81758,46294,8324,210,72,7,1982,24869,406,24463
