GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD01_VD02,Estimate; Total: - White alone
HD01_VD03,Estimate; Total: - Black or African American alone
HD01_VD04,Estimate; Total: - American Indian and Alaska Native alone
HD01_VD05,Estimate; Total: - Asian alone
HD01_VD06,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone
HD01_VD07,Estimate; Total: - Some other race alone
HD01_VD08,Estimate; Total: - Two or more races:
HD01_VD09,Estimate; Total: - Two or more races: - Two races including Some other race
HD01_VD10,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
HC01_VC03,Estimate; EMPLOYMENT STATUS - Population 16 years and over
HC01_VC04,Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force
HC01_VC05,Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force
HC01_VC06,Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Employed
HC01_VC07,Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Unemployed
HC01_VC08,Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Armed Forces
HC01_VC09,Estimate; EMPLOYMENT STATUS - Population 16 years and over - Not in labor force
HC01_VC11,Estimate; EMPLOYMENT STATUS - Civilian labor force
HC01_VC12,Estimate; EMPLOYMENT STATUS - Civilian labor force - Unemployment Rate
HC01_VC14,Estimate; EMPLOYMENT STATUS - Females 16 years and over
HC01_VC15,Estimate; EMPLOYMENT STATUS - Females 16 years and over - In labor force
HC01_VC16,Estimate; EMPLOYMENT STATUS - Females 16 years and over - In labor force - Civilian labor force
HC01_VC17,Estimate; EMPLOYMENT STATUS - Females 16 years and over - In labor force - Civilian labor force - Employed
HC01_VC19,Estimate; EMPLOYMENT STATUS - Own children of the householder under 6 years
HC01_VC20,Estimate; EMPLOYMENT STATUS - Own children of the householder under 6 years - All parents in family in labor force
HC01_VC22,Estimate; EMPLOYMENT STATUS - Own children of the householder 6 to 17 years
HC01_VC23,Estimate; EMPLOYMENT STATUS - Own children of the householder 6 to 17 years - All parents in family in labor force
HC01_VC27,Estimate; COMMUTING TO WORK - Workers 16 years and over
HC01_VC28,"Estimate; COMMUTING TO WORK - Workers 16 years and over - Car, truck, or van -- drove alone"
HC01_VC29,"Estimate; COMMUTING TO WORK - Workers 16 years and over - Car, truck, or van -- carpooled"
HC01_VC30,Estimate; COMMUTING TO WORK - Workers 16 years and over - Public transportation (excluding taxicab)
HC01_VC31,Estimate; COMMUTING TO WORK - Workers 16 years and over - Walked
HC01_VC32,Estimate; COMMUTING TO WORK - Workers 16 years and over - Other means
HC01_VC33,Estimate; COMMUTING TO WORK - Workers 16 years and over - Worked at home
HC01_VC36,Estimate; COMMUTING TO WORK - Mean travel time to work (minutes)
HC01_VC40,Estimate; OCCUPATION - Civilian employed population 16 years and over
HC01_VC41,"Estimate; OCCUPATION - Civilian employed population 16 years and over - Management, business, science, and arts occupations"
HC01_VC42,Estimate; OCCUPATION - Civilian employed population 16 years and over - Service occupations
HC01_VC43,Estimate; OCCUPATION - Civilian employed population 16 years and over - Sales and office occupations
HC01_VC44,"Estimate; OCCUPATION - Civilian employed population 16 years and over - Natural resources, construction, and maintenance occupations"
HC01_VC45,"Estimate; OCCUPATION - Civilian employed population 16 years and over - Production, transportation, and material moving occupations"
HC01_VC49,Estimate; INDUSTRY - Civilian employed population 16 years and over
HC01_VC50,"Estimate; INDUSTRY - Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining"
HC01_VC51,Estimate; INDUSTRY - Civilian employed population 16 years and over - Construction
HC01_VC52,Estimate; INDUSTRY - Civilian employed population 16 years and over - Manufacturing
HC01_VC53,Estimate; INDUSTRY - Civilian employed population 16 years and over - Wholesale trade
HC01_VC54,Estimate; INDUSTRY - Civilian employed population 16 years and over - Retail trade
HC01_VC55,"Estimate; INDUSTRY - Civilian employed population 16 years and over - Transportation and warehousing, and utilities"
HC01_VC56,Estimate; INDUSTRY - Civilian employed population 16 years and over - Information
HC01_VC57,"Estimate; INDUSTRY - Civilian employed population 16 years and over - Finance and insurance, and real estate and rental and leasing"
HC01_VC58,"Estimate; INDUSTRY - Civilian employed population 16 years and over - Professional, scientific, and management, and administrative and waste management services"
HC01_VC59,"Estimate; INDUSTRY - Civilian employed population 16 years and over - Educational services, and health care and social assistance"
HC01_VC60,"Estimate; INDUSTRY - Civilian employed population 16 years and over - Arts, entertainment, and recreation, and accommodation and food services"
HC01_VC61,"Estimate; INDUSTRY - Civilian employed population 16 years and over - Other services, except public administration"
HC01_VC62,Estimate; INDUSTRY - Civilian employed population 16 years and over - Public administration
HC01_VC66,Estimate; CLASS OF WORKER - Civilian employed population 16 years and over
HC01_VC67,Estimate; CLASS OF WORKER - Civilian employed population 16 years and over - Private wage and salary workers
HC01_VC68,Estimate; CLASS OF WORKER - Civilian employed population 16 years and over - Government workers
HC01_VC69,Estimate; CLASS OF WORKER - Civilian employed population 16 years and over - Self-employed in own not incorporated business workers
HC01_VC70,Estimate; CLASS OF WORKER - Civilian employed population 16 years and over - Unpaid family workers
HC01_VC74,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households
HC01_VC75,"Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - Less than $10,000"
HC01_VC76,"Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - $10,000 to $14,999"
HC01_VC77,"Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - $15,000 to $24,999"
HC01_VC78,"Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - $25,000 to $34,999"
HC01_VC79,"Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - $35,000 to $49,999"
HC01_VC80,"Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - $50,000 to $74,999"
HC01_VC81,"Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - $75,000 to $99,999"
HC01_VC82,"Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - $100,000 to $149,999"
HC01_VC83,"Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - $150,000 to $199,999"
HC01_VC84,"Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - $200,000 or more"
HC01_VC85,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars)
HC01_VC86,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - Mean household income (dollars)
HC01_VC89,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - With earnings
HC01_VC90,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - With earnings - Mean earnings (dollars)
HC01_VC91,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - With Social Security
HC01_VC92,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - With Social Security - Mean Social Security income (dollars)
HC01_VC93,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - With retirement income
HC01_VC94,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - With retirement income - Mean retirement income (dollars)
HC01_VC97,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - With Supplemental Security Income
