GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US00601,00601,ZCTA5 00601,17599,13686,120,17,0,0,3641,135,21,114
8600000US00602,00602,ZCTA5 00602,39209,26213,1092,0,0,0,1590,10314,141,10173
8600000US00603,00603,ZCTA5 00603,50135,35709,1985,131,557,10,7422,4321,325,3996
8600000US00606,00606,ZCTA5 00606,6304,3045,160,22,0,0,2904,173,99,74
8600000US00610,00610,ZCTA5 00610,27590,17038,845,0,0,1,6984,2722,57,2665
8600000US00612,00612,ZCTA5 00612,62566,51805,3079,279,679,0,5471,1253,613,640
8600000US00616,00616,ZCTA5 00616,10687,9698,469,34,0,0,352,134,17,117
8600000US00617,00617,ZCTA5 00617,24508,21680,720,0,90,0,1714,304,69,235
8600000US00622,00622,ZCTA5 00622,7405,3536,20,0,0,0,3849,0,0,0
8600000US00623,00623,ZCTA5 00623,42321,19974,1050,157,10,0,21018,112,40,72
8600000US00624,00624,ZCTA5 00624,23238,18019,822,38,47,0,3894,418,47,371
8600000US00627,00627,ZCTA5 00627,32936,26089,652,34,0,0,5902,259,154,105
8600000US00631,00631,ZCTA5 00631,1555,1098,0,0,0,0,457,0,0,0
8600000US00637,00637,ZCTA5 00637,23610,17384,704,0,0,0,5105,417,131,286
8600000US00638,00638,ZCTA5 00638,17202,16521,145,0,0,0,224,312,60,252
8600000US00641,00641,ZCTA5 00641,28332,20670,503,50,258,0,6227,624,340,284
8600000US00646,00646,ZCTA5 00646,38008,29834,4833,0,47,0,1176,2118,78,2040
8600000US00647,00647,ZCTA5 00647,5610,4039,83,0,0,0,1394,94,35,59
8600000US00650,00650,ZCTA5 00650,14664,12891,352,0,62,0,1223,136,0,136
8600000US00652,00652,ZCTA5 00652,3681,3236,63,0,24,0,349,9,8,1
8600000US00653,00653,ZCTA5 00653,11717,8165,389,19,0,0,2786,358,95,263
8600000US00656,00656,ZCTA5 00656,19546,15810,416,128,61,0,2723,408,33,375
8600000US00659,00659,ZCTA5 00659,40978,40074,258,0,16,0,310,320,189,131
8600000US00660,00660,ZCTA5 00660,16474,6122,486,0,43,0,9554,269,169,100
8600000US00662,00662,ZCTA5 00662,41341,29244,2099,98,0,0,9326,574,99,475
8600000US00664,00664,ZCTA5 00664,15396,13006,116,47,4,0,1776,447,46,401
8600000US00667,00667,ZCTA5 00667,24089,11585,240,43,0,0,11827,394,361,33
8600000US00669,00669,ZCTA5 00669,26510,18920,154,12,0,0,7125,299,9,290
8600000US00670,00670,ZCTA5 00670,8797,5689,66,0,0,0,3012,30,19,11
8600000US00674,00674,ZCTA5 00674,40826,34806,1625,41,14,0,4014,326,103,223
8600000US00676,00676,ZCTA5 00676,37862,27289,1232,97,60,0,7789,1395,74,1321
8600000US00677,00677,ZCTA5 00677,14569,9662,171,0,27,0,706,4003,12,3991
8600000US00678,00678,ZCTA5 00678,26642,21147,1286,66,27,0,3957,159,11,148
